S.No,Name,Address,Latitude,Longitude,Website,Type,Stream,Branch,Course,District,Code,Zone,State
4067,Sudharsan Engineering College,"NH-336 Sathyamangalam, Kulathur(Tk.), Pudukkottai(Dt.),Pin 622501",10.5,78.78,www.sec.ac.in,Self Finance,Engineering,Mechanical,Mechanical Engineering,Pudukkottai,PU,TN Central,Tamil Nadu
4068,SUDHARSAN POLYTECHNIC COLLEGE,"Narthamalai, NH210, Ramanathapuram Rd, Pudukkottai, 622504, India",10.5,78.78,,Self Finance,Polytechnic College,Polytechnic College,,Pudukkottai,PU,TN Central,Tamil Nadu
4069,SUDHARSHANA POLYTECHNIC COLLEGE,"State Highway 62, Kaalipatti, Thuraiyur, Tamil Nadu 621014, India",11.1,78.6,http://www.sudharshanapolytechnic.com/Default.html,Self Finance,Polytechnic College,Polytechnic College,,Tiruchirappalli,TC,TN Central,Tamil Nadu
4070,SUGAM HOSPITAL,"349, Thiruvottiyur High Rd, Tiruvottiyur, Chennai, Tamil Nadu 600019",13.2,80.3,https://www.sugamhospital.com/,Self Finance,Medical,Allied Health Sciences,B.Sc. Physician Assistant,Chennai,CH,TN North,Tamil Nadu
4071,Suguna College of Engineering,"Nehru Nagar, Civil Aerodrome Post, Coimbatore(Dt.),Pin 641014",11.1,77.03,www.sugunace.com,Self Finance,Engineering,Civil,Civil Engineering,Coimbatore,CO,TN West,Tamil Nadu
4072,Suguna College of Engineering,"Nehru Nagar, Civil Aerodrome Post, Coimbatore(Dt.),Pin 641014",11.1,77.03,www.sugunace.com,Self Finance,Engineering,Electrical,Electronics and Communication Engineering,Coimbatore,CO,TN West,Tamil Nadu
4073,Suguna College of Engineering,"Nehru Nagar, Civil Aerodrome Post, Coimbatore(Dt.),Pin 641014",11.1,77.03,www.sugunace.com,Self Finance,Engineering,Electrical,Electrical and Electronics Engineering,Coimbatore,CO,TN West,Tamil Nadu
4074,Suguna College of Engineering,"Nehru Nagar, Civil Aerodrome Post, Coimbatore(Dt.),Pin 641014",11.1,77.03,www.sugunace.com,Self Finance,Engineering,Mechanical,Mechatronics,Coimbatore,CO,TN West,Tamil Nadu
4075,Suguna College of Engineering,"Nehru Nagar, Civil Aerodrome Post, Coimbatore(Dt.),Pin 641014",11.1,77.03,www.sugunace.com,Self Finance,Engineering,Mechanical,Mechanical Engineering,Coimbatore,CO,TN West,Tamil Nadu
4076,SUGUNA POLYTECHNIC COLLEGE,"Near Vinayaka Temple, Kalapatti Main Rd, GKD Nagar, Nehru Nagar West, Coimbatore, Tamil Nadu 641014, India",11.1,77.03,www.sugunapolytechnic.com/,Self Finance,Polytechnic College,Polytechnic College,,Coimbatore,CO,TN West,Tamil Nadu
